simTime	Grav	Gmax	dvta	tgo_aim	UTAA_X	UTAA_Y	UTAA_Z	WOEA_X	WOEA_Y	WOEA_Z
0.224000	9.788991	10.998791	-140.625000	1.298346	0.995505	0.094462	-0.006896	0.000007	0.003188	0.044743
0.226000	9.788991	11.064144	-140.625000	1.294367	0.995496	0.094543	-0.006951	0.000007	0.003229	0.044992
0.228000	9.788991	11.129806	-140.625000	1.290394	0.995487	0.094638	-0.007008	0.000008	0.003270	0.045242
0.230000	9.788991	11.195779	-140.625000	1.286428	0.995479	0.094719	-0.007069	0.000008	0.003311	0.045494
0.232000	9.788991	11.262064	-140.625000	1.282469	0.995471	0.094803	-0.007113	0.000008	0.003352	0.045748
0.234000	9.788991	11.328663	-140.625000	1.278517	0.995462	0.094891	-0.007176	0.000008	0.003394	0.046004
0.236000	9.788991	11.395576	-140.625000	1.274571	0.995454	0.094966	-0.007232	0.000008	0.003436	0.046261
0.238000	9.788991	11.462805	131.250000	1.270632	0.995445	0.095063	-0.007290	0.000008	0.003479	0.046519
0.240000	9.788991	11.530350	-140.625000	1.266699	0.995434	0.095165	-0.007347	0.000008	0.003521	0.046779
0.242000	9.788991	11.598214	-140.625000	1.262773	0.995426	0.095250	-0.007399	0.000009	0.003564	0.047041
0.244000	9.788991	11.666398	-140.625000	1.258854	0.995416	0.095345	-0.007453	0.000009	0.003607	0.047305
0.246000	9.788991	11.734902	-140.625000	1.254941	0.995408	0.095423	-0.007506	0.000009	0.003651	0.047571
0.248000	9.788991	11.803728	-140.625000	1.251035	0.995399	0.095517	-0.007565	0.000009	0.003695	0.047838
0.250000	9.788991	11.872878	-140.625000	1.247135	0.995390	0.095611	-0.007621	0.000009	0.003739	0.048107
0.252000	9.788991	11.942352	-140.625000	1.243242	0.995381	0.095697	-0.007676	0.000009	0.003783	0.048377
0.254000	9.788991	12.012151	-140.625000	1.239356	0.995370	0.095802	-0.007732	0.000010	0.003828	0.048649
0.256000	9.788991	12.082278	-140.625000	1.235476	0.995361	0.095891	-0.007789	0.000010	0.003873	0.048924
0.258000	9.788991	12.152733	-140.625000	1.231602	0.995353	0.095977	-0.007847	0.000010	0.003918	0.049200
0.260000	9.788991	12.223518	-140.625000	1.227735	0.995343	0.096070	-0.007898	0.000010	0.003964	0.049477
0.262000	9.788991	12.294633	-140.625000	1.223875	0.995333	0.096168	-0.007965	0.000010	0.004010	0.049757
0.264000	9.788991	12.366081	-140.625000	1.220021	0.995324	0.096262	-0.008012	0.000011	0.004056	0.050038
0.266000	9.788991	12.437863	-140.625000	1.216174	0.995314	0.096360	-0.008068	0.000011	0.004103	0.050322
0.268000	9.788991	12.509979	-140.625000	1.212333	0.995304	0.096452	-0.008125	0.000011	0.004150	0.050607
0.270000	9.788991	12.582431	-140.625000	1.208498	0.995294	0.096552	-0.008176	0.000011	0.004197	0.050894
0.272000	9.788991	12.655220	-140.625000	1.204670	0.995284	0.096648	-0.008238	0.000011	0.004245	0.051183
0.274000	9.788991	12.728349	-140.625000	1.200848	0.995275	0.096744	-0.008287	0.000011	0.004293	0.051474
0.276000	9.788991	12.801817	-140.625000	1.197033	0.995265	0.096838	-0.008343	0.000012	0.004341	0.051767
